YearOlympic,OlympicName,OlympicCountry,OlympicCity,WinnerName,WinnerNationality,WinnerDateBirth,WinnerGender,Sport,Discipline,Medal
2008,2008 Summergames Beijing,China,Beijing,Park Tae-Hwan,South Korea,NULL,Man,Swimming,400m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Park Tae-Hwan,South Korea,NULL,Man,Swimming,200m freestyle,Silver
2008,2008 Summergames Beijing,China,Beijing,Nan Wang,China,NULL,Woman,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Nan Wang,China,NULL,Woman,Table Tennis,Singles,Silver
2008,2008 Summergames Beijing,China,Beijing,Nicolas Lopez,France,NULL,Man,Fencing,Sabre team,Gold
2008,2008 Summergames Beijing,China,Beijing,Nicolas Lopez,France,NULL,Man,Fencing,Sabre,Silver
2008,2008 Summergames Beijing,China,Beijing,Katerina Emmons,Czech Repunlic,NULL,Woman,Shooting,Air rifle,Gold
2008,2008 Summergames Beijing,China,Beijing,Katerina Emmons,Czech Repunlic,NULL,Woman,Shooting,"Small-bore rifle, 3 positions",Silver
2008,2008 Summergames Beijing,China,Beijing,Zhang Juan Juan,China,NULL,Woman,Archery,Individual,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhang Juan Juan,China,NULL,Woman,Archery,Team,Silver
2008,2008 Summergames Beijing,China,Beijing,Wang Hao,China,NULL,Man,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Wang Hao,China,NULL,Man,Table Tennis,Singles,Silver
2008,2008 Summergames Beijing,China,Beijing,Yang Yilin,China,NULL,Woman,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Yang Yilin,China,NULL,Woman,Gymnastics,Uneven bars,Broze
2008,2008 Summergames Beijing,China,Beijing,Yang Yilin,China,NULL,Woman,Gymnastics,Individual all-around,Broze
2008,2008 Summergames Beijing,China,Beijing,Jessicah Schipper,Australia,NULL,Woman,Swimming,4 x 100m medley relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Jessicah Schipper,Australia,NULL,Woman,Swimming,100m butterfly,Broze
2008,2008 Summergames Beijing,China,Beijing,Jessicah Schipper,Australia,NULL,Woman,Swimming,200m butterfly,Broze
2008,2008 Summergames Beijing,China,Beijing,Cheng Fei,China,NULL,Woman,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Cheng Fei,China,NULL,Woman,Gymnastics,Balance beam,Broze
2008,2008 Summergames Beijing,China,Beijing,Cheng Fei,China,NULL,Woman,Gymnastics,Vault,Broze
2008,2008 Summergames Beijing,China,Beijing,David Neville,United States,NULL,Man,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,David Neville,United States,NULL,Man,Athletics,400 metres,Broze
2008,2008 Summergames Beijing,China,Beijing,Cesar Cielo Filho,Brazil,NULL,Man,Swimming,50m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Cesar Cielo Filho,Brazil,NULL,Man,Swimming,100m freestyle,Broze
2008,2008 Summergames Beijing,China,Beijing,Beezie Madden,United States,NULL,Woman,Equestrian,Jumping team,Gold
2008,2008 Summergames Beijing,China,Beijing,Beezie Madden,United States,NULL,Woman,Equestrian,Jumping individual,Broze
2008,2008 Summergames Beijing,China,Beijing,Heike Kemmer,Germany,NULL,Woman,Equestrian,Dressage team,Gold
2008,2008 Summergames Beijing,China,Beijing,Heike Kemmer,Germany,NULL,Woman,Equestrian,Dressage individual,Broze
2008,2008 Summergames Beijing,China,Beijing,Guo Yue,China,NULL,Woman,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Guo Yue,China,NULL,Woman,Table Tennis,Singles,Broze
2008,2008 Summergames Beijing,China,Beijing,Katrin Wagner-Augustin,Germany,NULL,Woman,Canoeing,K-4 500 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Katrin Wagner-Augustin,Germany,NULL,Woman,Canoeing,K-1 500 metres,Broze
2008,2008 Summergames Beijing,China,Beijing,Ken Wallace,Australia,NULL,Man,Canoeing,K-1 500 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Ken Wallace,Australia,NULL,Man,Canoeing,K-1 1000 metres,Broze
2008,2008 Summergames Beijing,China,Beijing,Minxia Wu,China,NULL,Woman,Diving,Synchronized 3 metre springboard,Gold
2008,2008 Summergames Beijing,China,Beijing,Minxia Wu,China,NULL,Woman,Diving,3 metre springboard,Broze
2008,2008 Summergames Beijing,China,Beijing,Matteo Tagliariol,Italy,NULL,Man,Fencing,Épée,Gold
2008,2008 Summergames Beijing,China,Beijing,Matteo Tagliariol,Italy,NULL,Man,Fencing,Épée team,Broze
2008,2008 Summergames Beijing,China,Beijing,Mariel Zagunis,United States,NULL,Woman,Fencing,Sabre,Gold
2008,2008 Summergames Beijing,China,Beijing,Mariel Zagunis,United States,NULL,Woman,Fencing,Sabre team,Broze
2008,2008 Summergames Beijing,China,Beijing,Qin Kai,China,NULL,Man,Diving,Synchronized 3 metre springboard,Gold
2008,2008 Summergames Beijing,China,Beijing,Qin Kai,China,NULL,Man,Diving,3 metre springboard,Broze
2008,2008 Summergames Beijing,China,Beijing,Sanya Richards,United States,NULL,Woman,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Sanya Richards,United States,NULL,Woman,Athletics,400 metres,Broze
2008,2008 Summergames Beijing,China,Beijing,Sandra Izbasa,Romania,NULL,Woman,Gymnastics,Floor,Gold
2008,2008 Summergames Beijing,China,Beijing,Sandra Izbasa,Romania,NULL,Woman,Gymnastics,Team all-around,Broze
2008,2008 Summergames Beijing,China,Beijing,Valentina Vezzali,Italy,NULL,Woman,Fencing,Foil,Gold
2008,2008 Summergames Beijing,China,Beijing,Valentina Vezzali,Italy,NULL,Woman,Fencing,Foil team,Broze
2008,2008 Summergames Beijing,China,Beijing,Yun Ok-Hee,South Korea,NULL,Woman,Archery,Team,Gold
2008,2008 Summergames Beijing,China,Beijing,Yun Ok-Hee,South Korea,NULL,Woman,Archery,Individual,Broze
2008,2008 Summergames Beijing,China,Beijing,Wang Liqin,China,NULL,Man,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Wang Liqin,China,NULL,Man,Table Tennis,Singles,Broze
2008,2008 Summergames Beijing,China,Beijing,Wang Xin,China,NULL,Woman,Diving,Synchronized 10 metre platform,Gold
2008,2008 Summergames Beijing,China,Beijing,Wang Xin,China,NULL,Woman,Diving,10 metre platform,Broze
2008,2008 Summergames Beijing,China,Beijing,Tim Brabants,Great Britain,NULL,Man,Canoeing,K-1 1000 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Tim Brabants,Great Britain,NULL,Man,Canoeing,K-1 500 metres,Broze
2008,2008 Summergames Beijing,China,Beijing,Venus Williams,United States,NULL,Woman,Tennis,Doubles,Gold
2008,2008 Summergames Beijing,China,Beijing,Vasyl Lomachenko,Ukraine,NULL,Man,Boxing,Featherweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Veronica Campbell-Brown,Jamaica,NULL,Woman,Athletics,200 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Victoria Pendleton,Great Britain,NULL,Woman,Cycling,Sprint,Gold
2008,2008 Summergames Beijing,China,Beijing,Vincent Hancock,United States,NULL,Man,Shooting,Skeet,Gold
2008,2008 Summergames Beijing,China,Beijing,Wilfred Bungei,Kenya,NULL,Man,Athletics,800 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Wu Jingyu,China,NULL,Woman,Taekwondo,- 49 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Xian Dongmei,China,NULL,Woman,Judo,48-52 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Xiangxiang Zhang,China,NULL,Man,Weightlifting,62 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Wang Jiao,China,NULL,Woman,Wrestling,63-72 kg freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Walton Eller,United States,NULL,Man,Shooting,Double trap,Gold
2008,2008 Summergames Beijing,China,Beijing,Viktor Ruban,Ukraine,NULL,Man,Archery,Individual,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhang Ning,China,NULL,Woman,Badminton,Singles,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhang Xiaoping,China,NULL,Man,Boxing,Light heavyweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhong Man,China,NULL,Man,Fencing,Sabre,Gold
2008,2008 Summergames Beijing,China,Beijing,Yin Jiang,China,NULL,Woman,Sailing,Windsurfer,Gold
2008,2008 Summergames Beijing,China,Beijing,Yang Xiuli,China,NULL,Woman,Judo,70-78 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Zou Shiming,China,NULL,Man,Boxing,Light flyweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Valeri Borchin,Russia,NULL,Man,Athletics,20 km walk,Gold
2008,2008 Summergames Beijing,China,Beijing,Valerie Vili,New Zealand,NULL,Woman,Athletics,Shot put,Gold
2008,2008 Summergames Beijing,China,Beijing,Tong Wen,China,NULL,Woman,Judo,+ 78 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Tom Ashley,New Zealand,NULL,Man,Sailing,Windsurfer,Gold
2008,2008 Summergames Beijing,China,Beijing,Tomasz Majewski,Poland,NULL,Man,Athletics,Shot put,Gold
2008,2008 Summergames Beijing,China,Beijing,Tia Hellebaut,Belgium,NULL,Woman,Athletics,High jump,Gold
2008,2008 Summergames Beijing,China,Beijing,Steven Hooker,Australia,NULL,Man,Athletics,Pole vault,Gold
2008,2008 Summergames Beijing,China,Beijing,Satoshi Ishii,Japan,NULL,Man,Judo,+ 100 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Satu Makela-Nummela,Finland,NULL,Woman,Shooting,Trap,Gold
2008,2008 Summergames Beijing,China,Beijing,Saori Yoshida,Japan,NULL,Woman,Wrestling,48-55 kg freestyle,Gold
